month,state_norm,age_0_5,age_5_17,age_18_greater
March 2025,andaman and nicobar islands,0,0,0
March 2025,andhra pradesh,0,0,0
March 2025,arunachal pradesh,0,0,0
March 2025,assam,587,1105,800
March 2025,bihar,516,1392,444
March 2025,chandigarh,0,0,0
March 2025,chhattisgarh,115,46,99
March 2025,delhi,0,0,0
March 2025,goa,0,0,0
March 2025,gujarat,654,317,241
March 2025,haryana,98,79,23
March 2025,himachal pradesh,0,0,0
March 2025,jammu and kashmir,0,0,0
March 2025,jharkhand,12,25,18
March 2025,karnataka,309,192,231
March 2025,kerala,0,0,0
March 2025,ladakh,0,0,0
March 2025,lakshadweep,0,0,0
March 2025,madhya pradesh,286,161,95
March 2025,maharashtra,36,27,52
March 2025,manipur,0,0,0
March 2025,meghalaya,507,269,774
March 2025,mizoram,0,0,0
March 2025,nagaland,0,0,0
March 2025,odisha,0,0,0
March 2025,puducherry,0,0,0
March 2025,punjab,118,28,34
March 2025,rajasthan,41,36,17
March 2025,sikkim,0,0,0
March 2025,tamil nadu,12,12,10
March 2025,telangana,0,0,0
March 2025,the dadra and nagar haveli and daman and diu,0,0,0
March 2025,tripura,0,0,0
March 2025,uttar pradesh,1393,3326,674
March 2025,uttarakhand,186,76,49
March 2025,west bengal,26,18,27
April 2025,andaman and nicobar islands,0,0,0
April 2025,andhra pradesh,0,0,0
April 2025,arunachal pradesh,0,0,0
April 2025,assam,11073,8515,4054
April 2025,bihar,8197,9266,1218
April 2025,chandigarh,86,21,10
April 2025,chhattisgarh,1299,254,192
April 2025,delhi,208,98,13
April 2025,goa,0,0,0
April 2025,gujarat,16119,5510,3813
April 2025,haryana,1291,290,25
April 2025,himachal pradesh,0,0,0
April 2025,jammu and kashmir,0,0,0
April 2025,jharkhand,2026,1496,184
April 2025,karnataka,1552,139,48
April 2025,kerala,0,0,0
April 2025,ladakh,0,0,0
April 2025,lakshadweep,0,0,0
April 2025,madhya pradesh,11111,3825,1060
April 2025,maharashtra,7331,1732,641
April 2025,manipur,130,476,26
April 2025,meghalaya,7172,16999,6341
April 2025,mizoram,275,76,17
April 2025,nagaland,1186,2082,238
April 2025,odisha,182,82,12
April 2025,puducherry,0,0,0
April 2025,punjab,3747,1090,636
April 2025,rajasthan,11907,4141,794
April 2025,sikkim,0,0,0
April 2025,tamil nadu,358,95,46
April 2025,telangana,328,57,37
April 2025,the dadra and nagar haveli and daman and diu,0,0,0
April 2025,tripura,165,81,40
April 2025,uttar pradesh,32513,23189,2201
April 2025,uttarakhand,998,204,74
April 2025,west bengal,2873,1014,381
May 2025,andaman and nicobar islands,0,0,0
May 2025,andhra pradesh,0,0,0
May 2025,arunachal pradesh,0,0,0
May 2025,assam,4764,5245,2125
May 2025,bihar,9872,11413,892
May 2025,chandigarh,0,0,0
May 2025,chhattisgarh,453,235,174
May 2025,delhi,66,47,20
May 2025,goa,0,0,0
May 2025,gujarat,8430,3442,1564
May 2025,haryana,1358,311,32
May 2025,himachal pradesh,0,0,0
May 2025,jammu and kashmir,191,55,22
May 2025,jharkhand,0,0,0
May 2025,karnataka,0,0,0
May 2025,kerala,201,148,31
May 2025,ladakh,0,0,0
May 2025,lakshadweep,0,0,0
May 2025,madhya pradesh,6870,2866,341
May 2025,maharashtra,6706,2352,791
May 2025,manipur,120,116,55
May 2025,meghalaya,3660,7682,6038
May 2025,mizoram,416,93,45
May 2025,nagaland,303,326,37
May 2025,odisha,0,0,0
May 2025,puducherry,0,0,0
May 2025,punjab,2540,1002,225
May 2025,rajasthan,1992,904,65
May 2025,sikkim,0,0,0
May 2025,tamil nadu,322,64,34
May 2025,telangana,736,154,21
May 2025,the dadra and nagar haveli and daman and diu,0,0,0
May 2025,tripura,0,0,0
May 2025,uttar pradesh,26928,21554,1379
May 2025,uttarakhand,477,135,12
May 2025,west bengal,5538,3500,544
June 2025,andaman and nicobar islands,0,0,0
June 2025,andhra pradesh,186,28,12
June 2025,arunachal pradesh,0,0,0
June 2025,assam,4625,3124,1358
June 2025,bihar,16160,28223,2003
June 2025,chandigarh,0,0,0
June 2025,chhattisgarh,608,439,216
June 2025,delhi,212,100,51
June 2025,goa,0,0,0
June 2025,gujarat,5113,3410,513
June 2025,haryana,6112,1190,339
June 2025,himachal pradesh,0,0,0
June 2025,jammu and kashmir,0,0,0
June 2025,jharkhand,1564,1644,116
June 2025,karnataka,5863,3662,2160
June 2025,kerala,85,80,21
June 2025,ladakh,0,0,0
June 2025,lakshadweep,0,0,0
June 2025,madhya pradesh,9466,7516,646
June 2025,maharashtra,6521,3518,610
June 2025,manipur,91,499,13
June 2025,meghalaya,1724,7051,4786
June 2025,mizoram,205,69,37
June 2025,nagaland,181,502,56
June 2025,odisha,0,0,0
June 2025,puducherry,0,0,0
June 2025,punjab,1704,846,192
June 2025,rajasthan,4094,2354,168
June 2025,sikkim,0,0,0
June 2025,tamil nadu,1355,393,183
June 2025,telangana,849,598,69
June 2025,the dadra and nagar haveli and daman and diu,0,0,0
June 2025,tripura,60,87,20
June 2025,uttar pradesh,21006,25802,1552
June 2025,uttarakhand,160,80,54
June 2025,west bengal,3102,3210,732
July 2025,andaman and nicobar islands,0,0,0
July 2025,andhra pradesh,91,108,38
July 2025,arunachal pradesh,89,352,43
July 2025,assam,28838,10820,5044
July 2025,bihar,19008,38019,2247
July 2025,chandigarh,0,0,0
July 2025,chhattisgarh,4032,1213,354
July 2025,delhi,1126,593,171
July 2025,goa,21,10,11
July 2025,gujarat,30342,18912,3135
July 2025,haryana,5274,1301,177
July 2025,himachal pradesh,57,24,33
July 2025,jammu and kashmir,569,344,37
July 2025,jharkhand,5707,5194,332
July 2025,karnataka,8486,4436,2137
July 2025,kerala,158,216,100
July 2025,ladakh,0,0,0
July 2025,lakshadweep,0,0,0
July 2025,madhya pradesh,31144,23345,1891
July 2025,maharashtra,31749,16724,1701
July 2025,manipur,348,1265,13
July 2025,meghalaya,3479,11578,8709
July 2025,mizoram,462,169,91
July 2025,nagaland,964,2895,310
July 2025,odisha,364,140,25
July 2025,puducherry,0,0,0
July 2025,punjab,5862,2132,517
July 2025,rajasthan,17372,10811,603
July 2025,sikkim,0,0,0
July 2025,tamil nadu,630,273,69
July 2025,telangana,6137,2168,276
July 2025,the dadra and nagar haveli and daman and diu,0,0,0
July 2025,tripura,359,264,42
July 2025,uttar pradesh,70626,78078,3430
July 2025,uttarakhand,1863,479,21
July 2025,west bengal,12920,9395,1451
September 2025,andaman and nicobar islands,133,12,0
September 2025,andhra pradesh,25363,3060,350
September 2025,arunachal pradesh,886,882,6
September 2025,assam,32372,12795,734
September 2025,bihar,57958,71241,781
September 2025,chandigarh,775,79,1
September 2025,chhattisgarh,19725,3856,254
September 2025,delhi,615,234,14
September 2025,goa,692,105,74
September 2025,gujarat,39090,13156,1016
September 2025,haryana,17023,1446,65
September 2025,himachal pradesh,4463,253,24
September 2025,jammu and kashmir,8527,1861,22
September 2025,jharkhand,27208,17481,147
September 2025,karnataka,34803,4923,431
September 2025,kerala,13659,5661,179
September 2025,ladakh,101,44,0
September 2025,lakshadweep,0,0,0
September 2025,madhya pradesh,90560,30626,815
September 2025,maharashtra,64815,23906,706
September 2025,manipur,1361,1992,32
September 2025,meghalaya,2086,4747,2706
September 2025,mizoram,753,283,36
September 2025,nagaland,745,1811,178
September 2025,odisha,36593,9037,44
September 2025,puducherry,547,42,10
September 2025,punjab,17329,2538,157
September 2025,rajasthan,84055,38892,576
September 2025,sikkim,1,4,6
September 2025,tamil nadu,64431,11665,111
September 2025,telangana,28983,6633,111
September 2025,the dadra and nagar haveli and daman and diu,0,0,0
September 2025,tripura,2027,1072,22
September 2025,uttar pradesh,120927,127539,2331
September 2025,uttarakhand,9205,1703,29
September 2025,west bengal,80879,24142,1119
October 2025,andaman and nicobar islands,52,8,0
October 2025,andhra pradesh,16561,1789,133
October 2025,arunachal pradesh,387,473,5
October 2025,assam,16173,6520,2666
October 2025,bihar,43683,48000,1415
October 2025,chandigarh,429,44,0
October 2025,chhattisgarh,11521,2587,125
October 2025,delhi,328,101,5
October 2025,goa,375,47,10
October 2025,gujarat,14293,3570,1283
October 2025,haryana,12293,763,42
October 2025,himachal pradesh,3818,132,42
October 2025,jammu and kashmir,7490,1609,94
October 2025,jharkhand,15899,9073,239
October 2025,karnataka,21505,2760,329
October 2025,kerala,12184,4404,538
October 2025,ladakh,43,36,3
October 2025,lakshadweep,0,0,0
October 2025,madhya pradesh,47334,10874,1250
October 2025,maharashtra,35882,7844,882
October 2025,manipur,1029,1426,50
October 2025,meghalaya,1034,2100,1866
October 2025,mizoram,608,166,110
October 2025,nagaland,603,1300,67
October 2025,odisha,16871,3952,241
October 2025,puducherry,301,30,3
October 2025,punjab,8295,1300,305
October 2025,rajasthan,28535,15077,289
October 2025,sikkim,0,2,3
October 2025,tamil nadu,34002,7488,86
October 2025,telangana,20775,4564,110
October 2025,the dadra and nagar haveli and daman and diu,0,0,0
October 2025,tripura,1240,586,50
October 2025,uttar pradesh,67900,62831,2220
October 2025,uttarakhand,6066,1019,29
October 2025,west bengal,54015,15345,194
November 2025,andaman and nicobar islands,88,3,0
November 2025,andhra pradesh,22998,2009,356
November 2025,arunachal pradesh,341,395,97
November 2025,assam,18002,7773,3170
November 2025,bihar,44774,50132,763
November 2025,chandigarh,672,36,17
November 2025,chhattisgarh,17046,4312,294
November 2025,delhi,464,157,7
November 2025,goa,552,68,45
November 2025,gujarat,35427,7705,1998
November 2025,haryana,17636,1260,150
November 2025,himachal pradesh,5337,163,65
November 2025,jammu and kashmir,9796,2125,295
November 2025,jharkhand,28482,15234,247
November 2025,karnataka,28249,3367,650
November 2025,kerala,16484,5140,1422
November 2025,ladakh,100,28,3
November 2025,lakshadweep,0,0,0
November 2025,madhya pradesh,79884,15709,1773
November 2025,maharashtra,51014,10478,1585
November 2025,manipur,1287,1473,51
November 2025,meghalaya,1179,2008,2786
November 2025,mizoram,683,178,47
November 2025,nagaland,434,787,231
November 2025,odisha,16301,3733,245
November 2025,puducherry,458,27,15
November 2025,punjab,11619,1877,609
November 2025,rajasthan,48419,23268,2625
November 2025,sikkim,1,3,1
November 2025,tamil nadu,50237,12523,411
November 2025,telangana,20064,4268,247
November 2025,the dadra and nagar haveli and daman and diu,0,0,0
November 2025,tripura,1941,980,63
November 2025,uttar pradesh,97239,76913,2457
November 2025,uttarakhand,7461,1130,30
November 2025,west bengal,53981,15853,243
December 2025,andaman and nicobar islands,97,4,0
December 2025,andhra pradesh,17288,943,217
December 2025,arunachal pradesh,254,134,0
December 2025,assam,13381,4318,1533
December 2025,bihar,40763,40550,557
December 2025,chandigarh,511,31,8
December 2025,chhattisgarh,13560,2573,183
December 2025,delhi,350,95,2
December 2025,goa,274,24,23
December 2025,gujarat,24208,3684,1024
December 2025,haryana,11273,563,23
December 2025,himachal pradesh,2928,87,22
December 2025,jammu and kashmir,9009,959,44
December 2025,jharkhand,16493,6968,165
December 2025,karnataka,24770,2172,151
December 2025,kerala,10966,2941,384
December 2025,ladakh,121,12,1
December 2025,lakshadweep,0,0,0
December 2025,madhya pradesh,66284,11894,1009
December 2025,maharashtra,41562,5820,746
December 2025,manipur,774,806,23
December 2025,meghalaya,321,800,1222
December 2025,mizoram,360,80,10
December 2025,nagaland,96,250,5
December 2025,odisha,14483,2699,148
December 2025,puducherry,270,16,16
December 2025,punjab,6549,909,435
December 2025,rajasthan,33272,17594,418
December 2025,sikkim,1,0,5
December 2025,tamil nadu,30965,4713,299
December 2025,telangana,10940,1846,107
December 2025,the dadra and nagar haveli and daman and diu,0,0,0
December 2025,tripura,1584,584,18
December 2025,uttar pradesh,66236,45505,1398
December 2025,uttarakhand,5412,649,41
December 2025,west bengal,32278,8304,3572
